epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93326,3.10125,4.88866,0.00757,0.00149,0.01714,9e-05,3e-05,3.2778,5.83209,0.00772,0.00010002,0.00010002,0.00010002
2,3.73876,2.99113,4.30172,0.00663,0.11038,0.26381,0.07991,0.02936,2.88688,3.5442,0.00646,0.000214565,0.000214565,0.000214565
3,5.73392,2.46665,2.29111,0.00541,0.42663,0.2988,0.3453,0.17695,2.27207,2.93709,0.00495,0.000326799,0.000326799,0.000326799
4,7.70041,2.11831,1.93306,0.00469,0.48955,0.71143,0.61553,0.25744,2.16735,2.3032,0.00458,0.000436722,0.000436722,0.000436722
5,9.62983,2.0344,1.5432,0.00419,0.46473,0.75485,0.48262,0.18593,2.17978,1.75542,0.00457,0.000544336,0.000544336,0.000544336
6,11.8656,2.04219,1.42834,0.00406,0.44732,0.61905,0.45329,0.18725,2.22238,2.01815,0.00463,0.000649638,0.000649638,0.000649638
7,13.9113,2.03225,1.33079,0.00426,0.32572,0.63917,0.39533,0.13959,2.3178,2.2184,0.00488,0.00075263,0.00075263,0.00075263
8,15.7224,1.98729,1.26122,0.004,0.23052,0.77643,0.43569,0.17572,2.41829,2.27287,0.00503,0.000853312,0.000853312,0.000853312
9,17.5446,1.96678,1.22895,0.00397,0.32393,0.6619,0.41553,0.18165,2.33763,1.88441,0.00465,0.000951684,0.000951684,0.000951684
10,19.3913,1.97379,1.23478,0.00396,0.27205,0.49795,0.29178,0.11332,2.47346,2.54747,0.0051,0.00104774,0.00104774,0.00104774
11,21.1961,1.89333,1.14505,0.00397,0.34267,0.34095,0.26769,0.10475,2.46004,2.46857,0.0051,0.00114149,0.00114149,0.00114149
